TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63805940860286,3.3,1.8,0.0,0.0,1.5,--
63805940861298,3.2,1.8,0.0,0.0,1.5,--
63805940862309,3.4,1.9,0.0,0.0,1.5,--
63805940863315,3.3,1.8,0.0,0.0,1.5,--
63805940864325,3.4,1.9,0.0,0.0,1.5,--
63805940865321,3.2,1.7,0.0,0.0,1.5,--
63805940866334,3.3,1.8,0.0,0.0,1.5,--
63805940867348,3.2,1.8,0.0,0.0,1.5,--
63805940868356,3.3,1.9,0.0,0.0,1.5,--
63805940869373,3.4,1.9,0.0,0.0,1.5,--
63805940870369,3.3,1.8,0.0,0.0,1.5,--
63805940871375,3.4,1.9,0.0,0.0,1.5,--
63805940872372,3.3,1.8,0.0,0.0,1.5,--
63805940873364,3.3,1.8,0.0,0.0,1.5,--
63805940874377,3.3,1.8,0.0,0.0,1.5,--
63805940875400,3.3,1.8,0.0,0.0,1.5,--
63805940876408,3.3,1.8,0.0,0.0,1.5,--
63805940877420,3.3,1.9,0.0,0.0,1.5,--
63805940878419,3.3,1.9,0.0,0.0,1.5,--
63805940879428,3.2,1.7,0.0,0.0,1.5,--
63805940880436,3.7,2.2,0.0,0.0,1.5,--
63805940881431,3.3,1.8,0.0,0.0,1.5,--
63805940882444,3.3,1.8,0.0,0.0,1.5,--
63805940883458,3.4,1.9,0.0,0.0,1.5,--
63805940884470,3.8,2.3,0.0,0.0,1.5,--
63805940885482,3.4,1.9,0.0,0.0,1.5,--
63805940886489,3.3,1.8,0.0,0.0,1.5,--
63805940887495,3.6,2.1,0.0,0.0,1.5,--
63805940888501,3.4,1.9,0.0,0.0,1.5,--
63805940889512,3.5,2.0,0.0,0.0,1.5,--
63805940890508,3.4,1.9,0.0,0.0,1.5,--
63805940891525,3.3,1.8,0.0,0.0,1.5,--
63805940892536,3.2,1.7,0.0,0.0,1.5,--
63805940893544,3.4,1.9,0.0,0.0,1.5,--
63805940894546,3.3,1.9,0.0,0.0,1.5,--
63805940895540,3.5,2.0,0.0,0.0,1.5,--
63805940896551,3.2,1.7,0.0,0.0,1.5,--
63805940897562,3.5,2.0,0.0,0.0,1.5,--
63805940898554,5.0,3.6,0.0,0.0,1.5,--
63805940899566,4.3,2.9,0.0,0.0,1.5,--
63805940900571,3.4,1.9,0.0,0.0,1.5,--
