TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63801051273065.00,4.5,3.1,0,0,1.5,--
63801051274061.00,4.6,3.1,0,0,1.5,--
63801051275061.00,3.6,2.1,0,0,1.5,--
63801051276089.00,3.5,2,0,0,1.5,--
63801051277105.00,4.7,3.2,0,0,1.5,--
63801051278115.00,5.1,3.6,0,0,1.5,--
63801051279132.00,5.7,4.2,0,0,1.5,--
63801051280145.00,3.8,2.3,0,0,1.5,--
63801051281143.00,3.3,1.8,0,0,1.5,--
63801051282141.00,3.7,2.2,0,0,1.5,--
63801051283154.00,3.5,2,0,0,1.5,--
63801051284182.00,4.9,3.4,0,0,1.5,--
63801051285186.00,2.9,1.5,0,0,1.5,--
63801051286195.00,1.7,0.3,0,0,1.5,--
63801051287196.00,1.6,0.1,0,0,1.5,--
63801051288208.00,1.5,0.1,0,0,1.5,--
63801051289218.00,2.1,0.6,0,0,1.5,--
63801051290231.00,1.8,0.3,0,0,1.5,--
63801051291237.00,1.5,0,0,0,1.5,--
63801051292243.00,1.9,0.4,0,0,1.5,--
63801051293237.00,3.3,1.8,0,0,1.5,--
63801051294252.00,3.7,2.2,0,0,1.5,--
63801051295270.00,6,4.5,0,0,1.5,--
63801051296293.00,2.3,0.8,0,0,1.5,--
63801051297298.00,1.7,0.3,0,0,1.5,--
63801051298297.00,1.8,0.3,0,0,1.5,--
63801051299325.00,2.2,0.7,0,0,1.5,--
63801051300354.00,2.9,1.4,0,0,1.5,--
63801051301343.00,1.8,0.3,0,0,1.5,--
63801051302350.00,1.9,0.4,0,0,1.5,--
63801051303345.00,1.9,0.4,0,0,1.5,--
63801051304348.00,1.7,0.2,0,0,1.5,--
63801051305350.00,2.1,0.6,0,0,1.5,--
63801051306345.00,2.9,1.5,0,0,1.5,--
63801051307346.00,2,0.5,0,0,1.5,--
63801051308348.00,1.6,0.2,0,0,1.5,--
63801051309350.00,1.6,0.1,0,0,1.5,--
63801051310341.00,1.7,0.2,0,0,1.5,--
63801051311342.00,2.5,1,0,0,1.5,--
63801051312346.00,1.7,0.2,0,0,1.5,--
63801051313353.00,1.6,0.1,0,0,1.5,--
63801051314356.00,1.6,0.1,0,0,1.5,--
63801051315362.00,1.6,0.1,0,0,1.5,--
63801051316357.00,2.8,1.4,0,0,1.5,--
63801051317368.00,2.1,0.6,0,0,1.5,--
63801051318381.00,1.8,0.3,0,0,1.5,--
63801051319389.00,2.6,1.2,0,0,1.5,--
63801051320408.00,2.2,0.7,0,0,1.5,--
63801051321415.00,2.6,1.1,0,0,1.5,--
63801051322405.00,2.2,0.7,0,0,1.5,--
63801051323412.00,2.1,0.6,0,0,1.5,--
63801051324417.00,2.5,1,0,0,1.5,--
63801051325412.00,1.7,0.3,0,0,1.5,--
63801051326426.00,1.9,0.5,0,0,1.5,--
63801051327446.00,2.7,1.3,0,0,1.5,--
63801051328436.00,1.8,0.3,0,0,1.5,--
63801051329441.00,2.4,1,0,0,1.5,--
63801051330445.00,2.1,0.6,0,0,1.5,--
63801051331450.00,2.2,0.8,0,0,1.5,--
