,ID,Time Taken(s),Total Power(J),CPU(J),Monitor(J),Disk(J),Base(J)
45,BAT-0045,8,26.000000000000004,14.2,0.0,0.0,12.0
46,BAT-0046,63,214.69999999999996,122.89999999999999,0.0,0.0,94.5
47,BAT-0047,234,778.3000000000009,438.1,0.0,0.1,351.0
48,BAT-0048,128,429.59999999999997,243.19999999999982,0.0,0.0,192.0
49,BAT-0049,12,40.2,22.9,0.0,0.0,18.0
50,BAT-0050,84,280.5,158.10000000000002,0.0,0.0,126.0
51,BAT-0051,76,258.19999999999993,147.29999999999993,0.0,0.0,114.0
52,BAT-0052,105,351.6000000000001,198.69999999999987,0.0,0.0,157.5
53,BAT-0053,63,210.60000000000002,119.19999999999995,0.0,0.0,94.5
54,BAT-0054,80,264.69999999999993,148.09999999999994,0.0,0.0,120.0
55,BAT-0055,8,27.200000000000003,15.399999999999997,0.0,0.0,12.0
56,BAT-0056,20,68.00000000000001,38.800000000000004,0.0,0.0,30.0
57,BAT-0057,123,413.1000000000002,233.7999999999999,0.0,0.0,184.5
58,BAT-0058,33,109.19999999999996,61.30000000000002,0.0,0.0,49.5
59,BAT-0059,33,111.4,63.300000000000004,0.0,0.0,49.5
60,BAT-0060,5,16.7,9.5,0.0,0.0,7.5
61,BAT-0061,113,375.8000000000001,212.1999999999998,0.0,0.0,169.5
62,BAT-0062,18,61.800000000000004,35.400000000000006,0.0,0.0,27.0
63,BAT-0063,71,236.59999999999997,133.0,0.0,0.0,106.5
64,BAT-0064,14,45.10000000000001,24.700000000000003,0.0,0.0,21.0
65,BAT-0065,94,316.50000000000017,179.89999999999992,0.0,0.0,141.0
66,BAT-0066,209,699.2000000000007,394.9000000000001,0.0,0.0,313.5
67,BAT-0067,181,600.6000000000001,337.30000000000007,0.0,0.0,271.5
68,BAT-0068,246,848.1000000000014,489.3000000000004,0.0,0.2,369.0
69,BAT-0069,56,188.2,106.9,0.0,0.0,84.0
70,BAT-0070,11,40.9,24.8,0.0,0.0,16.5
71,BAT-0071,50,170.0,97.30000000000001,0.0,0.0,75.0
72,BAT-0072,25,85.2,48.800000000000004,0.0,0.0,37.5
73,BAT-0073,46,155.99999999999994,88.69999999999999,0.0,0.0,69.0
74,BAT-0074,80,268.3,152.50000000000006,0.0,0.0,120.0
75,BAT-0075,126,423.3999999999999,240.49999999999983,0.0,0.0,189.0
76,BAT-0076,26,88.5,50.90000000000001,0.0,0.0,39.0
77,BAT-0077,35,116.40000000000002,65.30000000000001,0.0,0.0,52.5
78,BAT-0078,91,306.4,173.19999999999993,0.0,0.0,136.5
79,BAT-0079,147,497.70000000000033,284.3999999999998,0.0,0.0,220.5
80,BAT-0080,49,166.79999999999995,95.39999999999999,0.0,0.0,73.5
81,BAT-0081,87,292.8999999999999,165.79999999999995,0.0,0.0,130.5
82,BAT-0082,125,423.1999999999999,240.19999999999985,0.0,0.0,187.5
83,BAT-0083,259,869.6000000000007,492.5000000000003,0.0,0.0,388.5
84,BAT-0084,39,130.0,73.7,0.0,0.0,58.5
85,BAT-0085,20,67.7,38.7,0.0,0.0,30.0
86,BAT-0086,33,111.3,63.5,0.0,0.0,49.5
87,BAT-0087,169,563.1000000000001,316.3999999999999,0.0,0.0,253.5
88,BAT-0088,113,407.7,242.79999999999993,0.0,0.7,169.5
89,BAT-0089,135,456.39999999999986,260.4999999999999,0.0,0.0,202.5
90,BAT-0090,263,908.8000000000008,525.8000000000001,0.0,0.1,394.5
91,BAT-0091,71,239.99999999999991,134.79999999999993,0.0,0.0,106.5
92,BAT-0092,24,81.2,46.1,0.0,0.0,36.0
93,BAT-0093,170,576.4000000000002,325.4,0.0,0.0,255.0
94,BAT-0094,197,664.9000000000005,373.90000000000026,0.0,0.0,295.5
95,BAT-0095,344,1131.4999999999998,626.7999999999994,0.0,0.1,516.0
96,BAT-0096,141,457.1999999999998,250.39999999999992,0.0,0.0,211.5
97,BAT-0097,68,218.00000000000009,119.70000000000005,0.0,0.0,102.0
98,BAT-0098,66,213.20000000000002,117.3,0.0,0.0,99.0
99,BAT-0099,89,287.3000000000001,157.7,0.0,0.0,133.5
